Wall time,Step,Value
1686339880.338937,4250,9.151000022888184
1686340440.6234953,8501,7.321000099182129
1686341003.1755502,12752,7.01200008392334
1686341562.0542557,17003,6.874000072479248
1686342118.0116715,21254,6.789000034332275
1686342678.8080866,25505,6.730999946594238
