Wall time,Step,Value
1686340175.4533916,100,14.98799991607666
1686340188.906804,200,13.914999961853027
1686340201.7376587,300,13.663000106811523
1686340215.2543106,400,13.605999946594238
1686340228.9424627,500,13.512999534606934
1686340242.4208834,600,13.418999671936035
1686340255.8888748,700,13.225000381469727
1686340269.2023377,800,13.055999755859375
1686340282.1762874,900,12.86299991607666
1686340295.704784,1000,12.739999771118164
1686340310.2763488,1100,12.5600004196167
1686340323.8215537,1200,12.482000350952148
1686340337.7941656,1300,12.314000129699707
1686340351.028575,1400,12.168999671936035
1686340364.2290967,1500,12.059000015258789
1686340377.5319216,1600,11.892000198364258
1686340390.7536404,1700,11.809000015258789
1686340404.4513159,1800,11.708000183105469
1686340418.6176925,1900,11.63599967956543
1686340431.9330373,2000,11.494999885559082
1686340445.6657267,2100,11.439000129699707
1686340459.4081259,2200,11.371999740600586
1686340472.7684276,2300,11.284000396728516
1686340486.3639636,2400,11.175000190734863
1686340499.6641145,2500,11.076000213623047
1686340514.0523956,2600,11.050000190734863
1686340527.446557,2700,10.946000099182129
1686340540.7305217,2800,10.821999549865723
1686340554.5220377,2900,10.821000099182129
1686340568.1213014,3000,10.746000289916992
1686340581.5003397,3100,10.708999633789062
1686340594.7422276,3200,10.631999969482422
1686340608.2628174,3300,10.652999877929688
1686340622.0782852,3400,10.597000122070312
1686340635.3303373,3500,10.465999603271484
1686340648.762335,3600,10.446999549865723
1686340662.9241605,3700,10.45199966430664
1686340676.3255463,3800,10.397000312805176
1686340689.781901,3900,10.302000045776367
1686340703.842039,4000,10.326000213623047
1686340718.3421853,4100,10.291999816894531
1686340732.530845,4200,10.343999862670898
1686340745.8879054,4300,10.182000160217285
1686340759.7366822,4400,10.133000373840332
1686340773.4759936,4500,10.121999740600586
1686340786.5472028,4600,10.095000267028809
1686340800.2615566,4700,9.99899959564209
1686340813.781039,4800,10.027000427246094
1686340826.9207625,4900,9.960000038146973
1686340840.5064533,5000,9.958000183105469
1686340854.0659227,5100,9.944000244140625
1686340867.1963031,5200,9.890000343322754
1686340880.9656067,5300,9.876999855041504
1686340893.921164,5400,9.901000022888184
1686340907.4682724,5500,9.88700008392334
1686340921.240736,5600,9.847000122070312
1686340936.0938494,5700,9.859999656677246
1686340950.1840663,5800,9.776000022888184
1686340963.589126,5900,9.736000061035156
1686340976.7633104,6000,9.699000358581543
1686340989.8246799,6100,9.657999992370605
1686341003.2363584,6200,9.704000473022461
1686341039.3139555,6300,9.701000213623047
1686341051.9348755,6400,9.548999786376953
1686341065.5886939,6500,9.592000007629395
1686341078.6868935,6600,9.545000076293945
1686341092.2608962,6700,9.609000205993652
1686341105.6130838,6800,9.496000289916992
1686341119.260805,6900,9.545000076293945
1686341133.6581523,7000,9.520999908447266
1686341147.3954258,7100,9.480999946594238
1686341161.0369132,7200,9.472000122070312
1686341174.3064466,7300,9.47700023651123
